id,title,original_language,release_date,vote_average,vote_count,popularity,overview,genre_ids,adult,backdrop_path,poster_path,release_year,release_month,release_day
545611,Everything Everywhere All at Once,en,2022-03-24,7.8,6527,64.192,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.","28,12,878",False,/ss0Os3uWJfQAENILHZUdX8Tt1OC.jpg,/w3LxiVYdWWRvEVdn5RYq6jIqkb1.jpg,2022,3,24
760104,X,en,2022-03-17,6.756,3243,61.093,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","27,9648,53",False,/70Rm9ItxKuEKN8iu6rNjfwAYUCJ.jpg,/A7YPhQKdcr6XB1kCUdS4tHifYWd.jpg,2022,3,17
616820,Halloween Ends,en,2022-10-12,6.101,1761,60.967,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.","27,53",False,/aTovumsNlDjof7YVoU5nW2RHaYn.jpg,/3uDwqxbr0j34rJVJMOW6o8Upw5W.jpg,2022,10,12
614934,Elvis,en,2022-06-22,7.516,3392,60.966,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.","18,10402,36",False,/rLo9T9jEg67UZPq3midjLnTUYYi.jpg,/qBOKWqAFbveZ4ryjJJwbie6tXkQ.jpg,2022,6,22
935271,After the Pandemic,en,2022-03-01,5.1,78,60.42,"Set in a post-apocalyptic world where a global airborne pandemic has wiped out 90% of the Earth's population and only the young and immune have endured as scavengers. For Ellie and Quinn, the daily challenges to stay alive are compounded when they become hunted by the merciless Stalkers.","878,28",False,/9c0lHTXRqDBxeOToVzRu0GArSne.jpg,/p1LbrdJ53dGfEhRopG71akfzOVu.jpg,2022,3,1
799379,Project Wolf Hunting,ko,2022-09-21,6.4,350,59.545,"While under heavily armed guard, the dangerous convicts aboard a cargo ship unite in a coordinated escape attempt that soon escalates into a bloody, all-out riot. But as the fugitives continue their brutal campaign of terror, they soon discover that not even the most vicious among them is safe from the horror they unknowingly unleashed from the darkness below deck.","28,53,27,80",False,/xkXsV1WOiKfAJ6dzXiavdwsZ3E2.jpg,/dniWicB6fa7NvpGbguxWlNPMc5f.jpg,2022,9,21
610150,Dragon Ball Super: Super Hero,ja,2022-06-11,7.9,2816,58.459,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.","16,878,28",False,/2P3R5sSvPjlbkh4ZnVPqjck0iW5.jpg,/pi0iZOEHeA3ih4p1IwAG4x2DZNH.jpg,2022,6,11
718930,Bullet Train,en,2022-08-03,7.5,6173,58.358,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.","28,35,53",False,/y2Ca1neKke2mGPMaHzlCNDVZqsK.jpg,/tVxDe01Zy3kZqaZRNiXFGDICdZk.jpg,2022,8,3
725201,The Gray Man,en,2022-07-13,6.956,3608,58.191,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.","28,53",False,/2u1YBNBlSwvBReyvI7i5z5ykQXP.jpg,/5Eom3JsXgQlCj6QIsGCwXkX7wyH.jpg,2022,7,13
579974,RRR,te,2022-03-24,7.7,1296,57.562,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,"18,28",False,/77GGKq6Ixq6ZiqBM6XcPZgQmiN2.jpg,/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg,2022,3,24
